TimeGenerated,EventID,AccountName,AccountDomain,LogonID,SourceIP,SourcePort,ShareName
2016-10-06 21:18:09,5140,WIN7_64JP_02$,EXAMPLE,0x206317e,192.168.16.102,49626,\\*\SYSVOL
2016-10-06 21:19:18,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,55716,\\*\IPC$
2016-10-06 21:21:01,5140,WIN7_64JP_02$,EXAMPLE,0x2063bca,192.168.16.102,49629,\\*\IPC$
2016-10-06 21:21:21,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2063dff,fe80::4888:72d0:4f06:d1a1,55724,\\*\IPC$
2016-10-06 21:21:21,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2063dff,fe80::4888:72d0:4f06:d1a1,55724,\\*\SYSVOL
2016-10-06 21:23:57,5140,WIN7_64JP_01$,EXAMPLE,0x206420c,192.168.16.101,50251,\\*\IPC$
2016-10-06 21:24:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2064245,fe80::4888:72d0:4f06:d1a1,55727,\\*\IPC$
2016-10-06 21:24:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2064245,fe80::4888:72d0:4f06:d1a1,55727,\\*\SYSVOL
2016-10-06 21:26:25,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206484e,fe80::4888:72d0:4f06:d1a1,55733,\\*\SYSVOL
2016-10-06 21:30:57,5140,WIN7_64JP_03$,EXAMPLE,0x206521d,192.168.16.103,49497,\\*\IPC$
2016-10-06 21:31:29,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2065426,fe80::4888:72d0:4f06:d1a1,55739,\\*\SYSVOL
2016-10-06 21:34:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2065c93,fe80::4888:72d0:4f06:d1a1,55740,\\*\SYSVOL
2016-10-06 21:34:18,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,55741,\\*\IPC$
2016-10-06 21:34:58,5140,Administrator,EXAMPLE,0x32cfb,fe80::4888:72d0:4f06:d1a1,55746,\\*\SYSVOL
2016-10-06 21:36:01,5140,WIN7_64JP_02$,EXAMPLE,0x2066401,192.168.16.102,49632,\\*\IPC$
2016-10-06 21:36:33,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x20665fe,fe80::4888:72d0:4f06:d1a1,55752,\\*\IPC$
2016-10-06 21:36:33,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x20665fe,fe80::4888:72d0:4f06:d1a1,55752,\\*\SYSVOL
2016-10-06 21:38:57,5140,WIN7_64JP_01$,EXAMPLE,0x2066b68,192.168.16.101,50261,\\*\IPC$
2016-10-06 21:41:37,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2067248,fe80::4888:72d0:4f06:d1a1,55760,\\*\SYSVOL
2016-10-06 21:44:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206762f,fe80::4888:72d0:4f06:d1a1,55761,\\*\IPC$
2016-10-06 21:44:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206762f,fe80::4888:72d0:4f06:d1a1,55761,\\*\SYSVOL
2016-10-06 21:45:57,5140,WIN7_64JP_03$,EXAMPLE,0x2067a69,192.168.16.103,49498,\\*\IPC$
2016-10-06 21:46:41,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2067c92,fe80::4888:72d0:4f06:d1a1,55767,\\*\SYSVOL
2016-10-06 21:48:05,5140,WIN7_64JP_01$,EXAMPLE,0x2068006,192.168.16.101,50275,\\*\IPC$
2016-10-06 21:48:05,5140,WIN7_64JP_01$,EXAMPLE,0x2068006,192.168.16.101,50275,\\*\SYSVOL
2016-10-06 21:49:18,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,55770,\\*\IPC$
2016-10-06 21:51:01,5140,WIN7_64JP_02$,EXAMPLE,0x206912e,192.168.16.102,49635,\\*\IPC$
2016-10-06 21:51:46,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x20693a4,fe80::4888:72d0:4f06:d1a1,55778,\\*\IPC$
2016-10-06 21:51:46,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x20693a4,fe80::4888:72d0:4f06:d1a1,55778,\\*\SYSVOL
2016-10-06 21:53:57,5140,WIN7_64JP_01$,EXAMPLE,0x2069778,192.168.16.101,50278,\\*\IPC$
2016-10-06 21:54:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x20697b1,fe80::4888:72d0:4f06:d1a1,55781,\\*\SYSVOL
2016-10-06 21:56:50,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2069e5d,fe80::4888:72d0:4f06:d1a1,55787,\\*\SYSVOL
2016-10-06 22:00:57,5140,WIN7_64JP_03$,EXAMPLE,0x206a609,192.168.16.103,49499,\\*\IPC$
2016-10-06 22:01:54,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206a853,fe80::4888:72d0:4f06:d1a1,55793,\\*\SYSVOL
2016-10-06 22:04:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206b233,fe80::4888:72d0:4f06:d1a1,55794,\\*\IPC$
