TimeGenerated,EventID,ProviderName,Code,ProcessID,ProviderPath
2021-08-27 00:31:15,5857,CIMWin32a,0x0,15032,%systemroot%\system32\wbem\wmipcima.dll
2021-08-27 00:54:23,5857,CIMWin32,0x0,10796,%systemroot%\system32\wbem\cimwin32.dll
2021-08-27 01:54:35,5857,CIMWin32,0x0,15784,%systemroot%\system32\wbem\cimwin32.dll
2021-08-27 01:54:35,5857,CIMWin32a,0x0,15784,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 00:00:25,5857,CIMWin32,0x0,14000,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 00:00:35,5857,CIMWin32a,0x0,14000,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 00:03:12,5857,WmiPerfClass,0x0,5732,C:\Windows\System32\wbem\WmiPerfClass.dll
2021-08-28 00:03:13,5857,Win32_TpmProvider,0x0,11036,C:\Windows\System32\wbem\Win32_TPM.dll
2021-08-28 00:03:15,5857,Win32_DeviceGuard,0x0,11036,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-28 00:03:15,5857,CIMWin32,0x0,11036,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 00:03:21,5857,SppProvider,0x0,11036,%SystemRoot%\System32\sppwmi.dll
2021-08-28 00:10:46,5857,CIMWin32,0x0,2564,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 00:10:49,5857,UserProfileProvider,0x0,2564,%systemroot%\system32\profprov.dll
2021-08-28 00:12:50,5857,WMIProv,0x0,5732,%systemroot%\system32\wbem\wmiprov.dll
2021-08-28 00:28:14,5857,CIMWin32,0x0,8060,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 00:28:14,5857,CIMWin32a,0x0,8060,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 00:45:22,5857,CIMWin32,0x0,2236,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 00:45:22,5857,CIMWin32a,0x0,2236,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 00:55:08,5857,CIMWin32,0x0,4372,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 01:14:17,5857,CIMWin32,0x0,16204,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 01:14:17,5857,CIMWin32a,0x0,16204,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 01:22:23,5857,CIMWin32,0x0,11716,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 01:53:41,5857,CIMWin32,0x0,17088,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 01:53:41,5857,CIMWin32a,0x0,17088,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 01:58:10,5857,CIMWin32,0x0,13020,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 02:32:36,5857,CIMWin32,0x0,4700,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 02:32:36,5857,CIMWin32a,0x0,4700,%systemroot%\system32\wbem\wmipcima.dll
