"TimeCreated","LogonUsername","AccountDomain","LogonID","LogonType","AuthPackage","SourceWorkstation","ProcessName","SourceIP","EventID"
"8/7/2018 8:50:51 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 8:50:49 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 8:24:34 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 7:45:52 PM","BASE-RD-01$","SHIELDBASE","33274016","3","Kerberos","-","-","127.0.0.1","4624"
"8/7/2018 6:09:52 PM","BASE-RD-01$","SHIELDBASE","31506239","3","Kerberos","-","-","127.0.0.1","4624"
"8/7/2018 6:07:34 PM","tdungan","shieldbase","31411076","7","Negotiate","BASE-RD-01","C:\Windows\System32\lsass.exe","-","4624"
"8/7/2018 6:07:34 PM","tdungan","shieldbase","31411013","1","Negotiate","BASE-RD-01","C:\Windows\System32\svchost.exe","127.0.0.1","4624"
"8/7/2018 5:20:45 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 4:33:53 PM","BASE-RD-01$","SHIELDBASE","29533083","3","Kerberos","-","-","127.0.0.1","4624"
"8/7/2018 4:00:20 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 4:00:20 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 3:57:52 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 2:57:52 PM","BASE-RD-01$","SHIELDBASE","27667270","3","Kerberos","-","-","127.0.0.1","4624"
"8/7/2018 2:05:44 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 1:44:29 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 1:21:53 PM","BASE-RD-01$","SHIELDBASE","25544851","3","Kerberos","-","-","127.0.0.1","4624"
"8/7/2018 1:20:58 PM","BASE-RD-01$","SHIELDBASE","25402556","3","Kerberos","-","-","-","4624"
"8/7/2018 1:20:46 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 1:20:45 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 1:20:44 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 11:45:52 AM","BASE-RD-01$","SHIELDBASE","23619902","3","Kerberos","-","-","127.0.0.1","4624"
"8/7/2018 10:59:18 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 10:59:18 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 10:56:55 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 10:09:53 AM","BASE-RD-01$","SHIELDBASE","21679826","3","Kerberos","-","-","127.0.0.1","4624"
"8/7/2018 9:20:43 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 9:02:27 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/7/2018 8:33:53 AM","BASE-RD-01$","SHIELDBASE","19812091","3","Kerberos","-","-","127.0.0.1","4624"
"8/7/2018 6:57:53 AM","BASE-RD-01$","SHIELDBASE","18135506","3","Kerberos","-","-","127.0.0.1","4624"
